catalogue_id,maison,cuvée_courante,type,fait_structurant,source,qualité_source,statut_produit,date_controle
18,Joseph Perrier,Cuvée Royale Brut,brut sans année,35% Chardonnay / 35% Pinot Noir / 30% Meunier,https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-royale-brut/,officielle produit,publiable,2026-07-26
19,Alfred Gratien,Brut,brut sans année,Élevage sous bois et service conseillé à 8-10 °C,https://www.alfredgratien.com/en/the-cuvees/brut/,officielle produit,publiable,2026-07-26
20,Drappier,Carte d'Or,brut sans année,Cuvée actuelle confirmée mais fiche technique directe à récupérer,https://www.champagne-drappier.com/en/,officielle maison,compléter avant publication,2026-07-26
21,Palmer & Co,La Réserve,brut sans année,50-55% Chardonnay / 30-35% Pinot Noir / 20-25% Meunier / 30-35% de vins de réserve / dosage 6-7 g/L,https://www.champagne-palmer.fr/en/vins/la-reserve/,officielle produit,publiable,2026-07-26
22,Philipponnat,Royale Réserve Brut,brut sans année,Cuvée actuelle à dominante pinot noir et positionnée pour la table,https://www.philipponnat.com/en/end-of-year-accolades/,officielle maison,publiable,2026-07-26
23,Henri Giraud,Esprit Nature,brut sans année,Source produit officielle non retrouvée lors du contrôle,https://www.champagne-giraud.com/,officielle maison,bloqué source,2026-07-26
24,Leclerc Briant,Brut Réserve,extra-brut sans année,Fiche technique officielle avec dosage 4.5 g/L pour la base 2020,https://www.leclercbriant.fr/uploads/brochures/Brut-Reserve-2020-65e5d0200938f.pdf,officielle technique,publiable avec date de base,2026-07-26
25,Delamotte,Brut,brut sans année,60% Chardonnay / 35% Pinot Noir / 5% Meunier sur la fiche actuelle,https://www.champagne-delamotte.com/en/products/brut,officielle produit,publiable,2026-07-26
26,Jacquesson,Cuvée n° 748,extra-brut multi-vintage,Base vendange 2020 / 24% de vins de réserve / vinification et élevage en foudres / dosage 2 g/L,https://champagnejacquesson.com/oenotheque/2025,officielle produit,publiable sans offre marchande,2026-07-26
27,Egly-Ouriet,Les Prémices,extra-brut sans année,Assemblage à parts égales Chardonnay / Pinot Noir / Meunier,https://www.skurnik.com/sku/champagne-brut-les-premices-egly-ouriet-2/,importateur,attendre marchand français,2026-07-26
28,Pierre Gimonnet & Fils,Cuis 1er Cru Blanc de Blancs,blanc de blancs,100% Chardonnay de Cuis Premier Cru,https://www.champagne-gimonnet.com/,officielle maison,compléter fiche directe,2026-07-26
29,Laherte Frères,Ultradition Brut,brut sans année,Dosage 7-8 g/L et élevage en cuves / foudres / fûts,https://www.champagne-laherte.com/docs/en/fiche-technique-en-Brut_Ultradition.pdf,officielle technique,publiable,2026-07-26
30,Chartogne-Taillet,Sainte-Anne,brut multi-vintage,Assemblage de parcelles et de plusieurs vendanges,https://chartogne-taillet.com/en/vin/sainte-anne/details,officielle produit,publiable,2026-07-26
31,Charles Dufour,Bulles de Comptoir #13 Cuisine du Dimanche,extra-brut multi-vintage,60% Pinot Noir / 30% Chardonnay / 10% Pinot Blanc,https://leonandsonwine.com/products/nv-charles-dufour-bulles-de-comptoir-13-extra-brut-champagne-france,marchand secondaire,attendre marchand français,2026-07-26
32,Pierre Péters,Cuvée de Réserve,blanc de blancs grand cru,100% Chardonnay et réserve perpétuelle,https://grandcruselections.com/champagne-pierre-peters,importateur,attendre source ou marchand français,2026-07-26
33,Jacques Selosse,Initial,blanc de blancs grand cru,100% Chardonnay issu d'Avize / Cramant / Oger,https://www.rarewineco.com/producer/selosse-champagne/,importateur,éditorial seulement sans offre stable,2026-07-26
