catalogue_id,slug,producer,name,cuvee_family_slug,release_label,vintage_year,edition_number,type,description_editoriale,freshness,roundness,power,complexity,fruitiness,minerality,sweetness,occasions,accords,source_url,facts_verified_at,editorial_ready,commerce_ready
18,joseph-perrier-cuvee-royale-brut,Joseph Perrier,Cuvée Royale Brut,cuvee-royale-brut,standard,,,brut sans année,"Un brut équilibré à recommander quand on cherche une bouteille polyvalente, de l’apéritif au début du repas. Son assemblage à parts presque égales donne une lecture accessible du style champenois : fraîcheur du chardonnay, structure du pinot noir et fruit du meunier, sans spécialisation trop marquée.",4,3,3,3,4,3,2,"apéritif|cadeau|repas","gougères|poisson grillé|volaille",https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-royale-brut/,2026-07-26,true,false
19,alfred-gratien-brut,Alfred Gratien,Brut,brut,standard,,,brut sans année,"Une option de caractère pour l’amateur qui préfère un champagne construit et gastronomique à un profil seulement fruité. L’élevage sous bois apporte du relief, tandis que le service autour de 8 à 10 °C préserve l’équilibre. À choisir pour un apéritif soigné ou une entrée aux saveurs légèrement toastées.",3,4,4,4,3,3,2,"apéritif|cadeau|repas","feuilleté aux champignons|volaille|comté",https://www.alfredgratien.com/en/the-cuvees/brut/,2026-07-26,true,false
21,palmer-co-la-reserve,Palmer & Co,La Réserve,la-reserve,standard,,,brut sans année,"La Réserve de Palmer & Co associe une majorité de chardonnay aux deux pinots, avec 30 à 35 % de vins de réserve et trois à quatre années sur lies en bouteille. Son équilibre entre fraîcheur et ampleur en fait une option polyvalente pour l’apéritif, le cadeau ou un repas léger.",4,4,3,4,4,3,2,"apéritif|cadeau|repas","gougères|poisson grillé|mimolette affinée",https://www.champagne-palmer.fr/en/vins/la-reserve/,2026-07-26,true,false
22,philipponnat-royale-reserve-brut,Philipponnat,Royale Réserve Brut,royale-reserve-brut,standard,,,brut sans année,"Un brut à dominante de pinot noir, plus à l’aise à table que dans le rôle d’une simple bulle d’accueil. Sa structure convient aux convives qui aiment les champagnes vineux mais encore faciles d’accès. C’est un bon pont entre une grande maison classique et les cuvées de prestige plus exigeantes.",3,4,4,4,3,3,2,"cadeau|repas|célébration","volaille rôtie|poisson en sauce|parmesan",https://www.philipponnat.com/en/end-of-year-accolades/,2026-07-26,true,false
24,leclerc-briant-brut-reserve-base-2020,Leclerc Briant,Brut Réserve - base 2020,brut-reserve,base-2020,,,extra-brut sans année,"Cette base 2020 du Brut Réserve de Leclerc Briant assemble 40 % de meunier, 40 % de pinot noir et 20 % de chardonnay, avec un dosage de 4,5 g/L. Son profil frais mais charnu convient à l’apéritif comme à un repas, particulièrement pour découvrir une maison certifiée biologique.",4,4,3,4,4,3,1,"découverte|apéritif|repas","jambon de Reims|agneau|comté",https://www.leclercbriant.fr/uploads/brochures/Brut-Reserve-2020-65e5d0200938f.pdf,2026-07-26,true,false
25,delamotte-brut,Delamotte,Brut,brut,standard,,,brut sans année,"Avec 60 % de chardonnay, ce brut privilégie la finesse et la fraîcheur sans devenir austère. Il fonctionne particulièrement bien pour un cadeau discret, un apéritif élégant ou des fruits de mer. À recommander à ceux qui recherchent une maison moins démonstrative, avec une texture nette et un style facile à associer.",4,3,2,3,3,4,2,"apéritif|cadeau|repas","huîtres|poisson cru|fromage frais",https://www.champagne-delamotte.com/en/products/brut,2026-07-26,true,false
26,jacquesson-cuvee-748,Jacquesson,Cuvée n° 748,cuvees-700,748,,748,extra-brut multi-vintage,"La Cuvée n° 748 est une sortie précise fondée sur la vendange 2020, complétée par 24 % de vins de réserve. Vinifiée et élevée en foudres sans filtration ni collage, puis dosée à 2 g/L, elle s’adresse aux amateurs de champagnes tendus, complexes et construits pour la table.",5,3,4,5,3,5,1,"collection|découverte|repas","poisson noble|volaille|vieux comté",https://champagnejacquesson.com/oenotheque/2025,2026-07-26,true,false
29,laherte-freres-ultradition-brut,Laherte Frères,Ultradition Brut,ultradition-brut,standard,,,brut sans année,"Une porte d’entrée pertinente vers le champagne de vigneron : expressif, travaillé dans plusieurs contenants et dosé sans chercher l’extrême sécheresse. Il offre assez de chair pour accompagner un repas léger, tout en restant vivant à l’apéritif. À proposer aux curieux qui veulent sortir des signatures de grandes maisons.",4,4,3,4,4,3,2,"découverte|apéritif|repas","charcuterie fine|poisson rôti|volaille",https://www.champagne-laherte.com/docs/en/fiche-technique-en-Brut_Ultradition.pdf,2026-07-26,true,false
30,chartogne-taillet-sainte-anne,Chartogne-Taillet,Sainte-Anne,sainte-anne,standard,,,brut multi-vintage,"Sainte-Anne s’adresse à l’amateur qui veut percevoir un travail de terroir sans commencer par une cuvée parcellaire rare. L’assemblage de parcelles et de plusieurs vendanges recherche l’équilibre plutôt qu’un effet spectaculaire. Un choix de découverte sérieux, adapté à l’apéritif comme à une cuisine marine ou végétale précise.",4,3,3,4,3,4,2,"découverte|apéritif|repas","coquillages|poisson blanc|légumes rôtis",https://chartogne-taillet.com/en/vin/sainte-anne/details,2026-07-26,true,false
42,krug-grande-cuvee-174,Krug,Grande Cuvée 174ème Édition,grande-cuvee,174eme-edition,,174,brut multi-millésime,"Cette 174ème Édition doit être traitée comme une sortie précise, pas comme un Krug générique. L’assemblage de 143 vins issus de dix années vise profondeur, relief et continuité de style. Une bouteille pour un grand repas ou un cadeau majeur, à servir dans un verre ample et sans la refroidir excessivement.",3,5,5,5,4,3,2,"grand cadeau|célébration|grand repas","homard|volaille truffée|vieux comté",https://www.krug.com/en-int/champagne/krug-grande-cuvee-174eme-edition,2026-07-26,true,false
