catalogue_id,maison,cuvée_publiable,type,assemblage_ou_cépages,dosage,service,repere_maison,source_officielle,statut,date_controle
1,Nicolas Feuillatte,Réserve Exclusive Brut,brut sans année,40% Pinot Noir / 40% Meunier / 20% Chardonnay,Brut,,,https://nicolas-feuillatte.com/en/products/reserve-exclusive-brut,contrôlée,2026-07-26
2,Moët & Chandon,Moët Impérial,brut sans année,Pinot Noir 30-40% / Meunier 30-40% / Chardonnay 20-30%,7 g/L,,20 à 30% de vins de réserve,https://www.moet.com/en-int/moet-imperial,contrôlée,2026-07-26
3,Veuve Clicquot,Brut Carte Jaune,brut sans année,50% Pinot Noir / 20% Meunier / 30% Chardonnay,9 g/L,8-10 °C,Cuvée signature,https://www.veuveclicquot.com/fr-fr/veuve-clicquot-champagne-brut-carte-jaune-11003681.html,contrôlée,2026-07-26
4,Bollinger,Special Cuvée,brut sans année,60% Pinot Noir / 25% Chardonnay / 15% Meunier,6-7 g/L,10 °C,Style Bollinger,https://www.champagne-bollinger.com/vin/special-cuvee,contrôlée,2026-07-26
5,Ruinart,Blanc de Blancs,blanc de blancs,100% Chardonnay,Brut,,Cépage signature de la Maison,https://www.ruinart.com/fr-fr/ruinart-blanc-de-blancs-bouteille-sans-etui-1084616.html,contrôlée,2026-07-26
6,Laurent-Perrier,La Cuvée,brut sans année,Chardonnay 50%+ / Pinot Noir 30-35% / Meunier 10-15%,Brut,,Vieillissement 4 ans,https://www.laurent-perrier.com/fr/champagnes/la-cuvee/,contrôlée,2026-07-26
7,Taittinger,Brut Réserve,brut sans année,40% Chardonnay / 35% Pinot Noir / 25% Meunier,9 g/L,,Plus de 40 crus et 4 années,https://www.taittinger.com/les-champagnes/brut-reserve,contrôlée,2026-07-26
8,Pol Roger,Brut Réserve,brut sans année,Pinot Noir / Meunier / Chardonnay,Brut,,,https://m.polroger.com/pdf/en/brut-reserve-brut-reserve-4.pdf,contrôlée,2026-07-26
9,Piper-Heidsieck,Cuvée Brut,brut sans année,Pinot Noir / Meunier / Chardonnay,Extra-Brut,,Assemblage de plus de 100 crus,https://www.piper-heidsieck.com/en/wine/cuvee-brut/,contrôlée,2026-07-26
10,Pommery,Brut Royal,brut sans année,Chardonnay / Pinot Noir / Meunier,Brut,,Style : vivacité et fraîcheur,https://www.champagnepommery.com/wines/brut-pommery/cuvee-brut-royal,contrôlée,2026-07-26
11,Mumm,Cordon Rouge,brut sans année,Pinot Noir / Meunier / Chardonnay,Brut,,,https://www.mumm.com/en-gb/product/cordon-rouge-new-design/,contrôlée,2026-07-26
12,Charles Heidsieck,Brut Réserve,brut sans année,40% Chardonnay / 40% Pinot Noir / 20% Meunier,Brut,,Jusqu'à 50% de vins de réserve,https://charlesheidsieck.com/en/wines/brut-reserve,contrôlée,2026-07-26
13,Deutz,Brut Classic,brut sans année,Majorité Chardonnay / Pinot Noir / Meunier,Brut,,Vins de réserve de millésimes choisis et 3 ans de vieillissement,https://www.champagne-deutz.com/DEUTZ-Brochure-FR.pdf,contrôlée,2026-07-26
14,Gosset,Grande Réserve,brut sans année,Majorité de Pinots et Chardonnay,Brut,,Maturation minimum 4 ans,https://www.champagne-gosset.com/nos-vins-de-champagne/gosset-grande-reserve/,contrôlée,2026-07-26
15,Billecart-Salmon,Brut Réserve,brut sans année,Pinot Noir / Chardonnay / Meunier,Brut,8-10 °C,Aérien subtil et harmonieux,https://www.champagne-billecart.fr/fr/collection/brut-reserve,contrôlée,2026-07-26
16,Louis Roederer,Collection 246,brut sans année,Assemblage multi-vintage,Brut,,246e assemblage de la Maison,https://www.louis-roederer.com/en/collection246,contrôlée,2026-07-26
17,Lanson,Le Black Création,brut sans année,Pinot Noir / Chardonnay / Meunier,Brut,,Cuvée actuelle de la Maison,https://www.champagne-lanson.com/,contrôlée gamme,2026-07-26
