id,producer,cuvée,segment,colour,style_principal,profil_cible,occasion_principale,accord_principal,budget_min_eur,budget_max_eur,priority,official_source_url,verification_status
1,Nicolas Feuillatte,Réserve Exclusive,brut_non_millesime,blanc,fruité_frais,accessible et polyvalent,apéritif,canapés et gougères,28,38,1,https://www.nicolas-feuillatte.com/,à vérifier
2,Moët & Chandon,Impérial,brut_non_millesime,blanc,fruité_rond,généreux et festif,cadeau,poulet rôti et apéritif,40,50,1,https://www.moet.com/fr-fr/champagne/,à vérifier
3,Veuve Clicquot,Yellow Label,brut_non_millesime,blanc,structuré_fruité,caractère et valeur sûre,cadeau,volaille et parmesan,45,55,1,https://www.veuveclicquot.com/fr-fr/,à vérifier
4,Bollinger,Special Cuvée,brut_non_millesime,blanc,vineux_brioche,gastronomique,repas,volaille rôtie et champignons,58,70,1,https://www.champagne-bollinger.com/,à vérifier
5,Ruinart,Blanc de Blancs,blanc_de_blancs,blanc,frais_floral,élégant et minéral,cadeau,poisson et fruits de mer,70,90,1,https://www.ruinart.com/fr-fr/,à vérifier
6,Laurent-Perrier,La Cuvée,brut_non_millesime,blanc,frais_délicat,équilibré et fin,apéritif,poisson cru et fruits de mer,42,52,1,https://www.laurent-perrier.com/fr/,à vérifier
7,Taittinger,Brut Réserve,brut_non_millesime,blanc,frais_brioche,élégant et consensuel,apéritif,fruits de mer,42,52,1,https://www.taittinger.com/,à vérifier
8,Pol Roger,Brut Réserve,brut_non_millesime,blanc,équilibré_brioche,fin et classique,cadeau,volaille et poissons nobles,48,60,1,https://www.polroger.com/,à vérifier
9,Piper-Heidsieck,Cuvée Brut,brut_non_millesime,blanc,fruité_tonique,expressif et moderne,apéritif,amuse-bouches,35,45,1,https://www.piper-heidsieck.com/,à vérifier
10,Pommery,Brut Royal,brut_non_millesime,blanc,vif_frais,droit et rafraîchissant,apéritif,huîtres et coquillages,38,48,1,https://www.vranken-pommery.com/,à vérifier
11,G.H. Mumm,Cordon Rouge,brut_non_millesime,blanc,fruité_structuré,franc et dynamique,célébration,apéritif salé,35,45,1,https://www.mumm.com/,à vérifier
12,Charles Heidsieck,Brut Réserve,brut_non_millesime,blanc,riche_brioche,profond et gourmand,repas,volaille et comté,55,70,1,https://www.charlesheidsieck.com/,à vérifier
13,Deutz,Brut Classic,brut_non_millesime,blanc,fin_fruité,raffiné et discret,cadeau,poisson et apéritif,45,58,1,https://www.champagne-deutz.com/,à vérifier
14,Gosset,Grande Réserve,brut_non_millesime,blanc,structuré_frais,ample et tendu,repas,saumon et volaille,50,65,1,https://www.champagne-gosset.com/,à vérifier
15,Billecart-Salmon,Brut Réserve,brut_non_millesime,blanc,frais_harmonieux,fin et polyvalent,cadeau,apéritif et poisson,55,70,1,https://www.billecart-salmon.com/,à vérifier
16,Louis Roederer,Collection 246,brut_non_millesime,blanc,ample_frais,précis et gastronomique,cadeau,poisson noble,55,70,1,https://www.louis-roederer.com/en/collection246,contrôlée vague 1
17,Lanson,Le Black Création,brut_non_millesime,blanc,vif_brioche,énergique et complexe,repas,fruits de mer,45,60,1,https://www.champagne-lanson.com/,contrôlée vague 1
18,Joseph Perrier,Cuvée Royale Brut,brut_non_millesime,blanc,fruité_délicat,fin et floral,apéritif,poisson blanc,42,55,2,https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-royale-brut/,contrôlée vague 3
19,Alfred Gratien,Brut,brut_non_millesime,blanc,vineux_frais,traditionnel et racé,repas,volaille et champignons,42,55,2,https://www.alfredgratien.com/en/the-cuvees/brut/,contrôlée vague 3
20,Drappier,Carte d'Or,brut_non_millesime,blanc,fruité_vineux,généreux et solaire,repas,charcuterie fine et volaille,40,52,1,https://www.champagne-drappier.com/,à vérifier
21,Palmer & Co,La Réserve,brut_non_millesime,blanc,frais_brioche,net et élégant,apéritif,fruits de mer,40,52,2,https://www.champagne-palmer.fr/,contrôlée vague 3
22,Philipponnat,Royale Réserve,brut_non_millesime,blanc,vineux_structuré,puissant et gastronomique,repas,volaille et veau,52,65,2,https://www.philipponnat.com/,à vérifier
23,Henri Giraud,Esprit Nature,brut_non_millesime,blanc,vineux_boise,ample et singulier,repas,volaille crémée,60,80,2,https://www.champagne-giraud.com/,à vérifier
24,Leclerc Briant,Brut Réserve,biodynamique,blanc,frais_vineux,gastronomique et engagé,repas,poisson sauce légère,55,70,2,https://www.leclercbriant.fr/uploads/brochures/Brut-Reserve-2020-65e5d0200938f.pdf,contrôlée vague 3
25,Delamotte,Brut,brut_non_millesime,blanc,fin_minéral,élégant et droit,cadeau,crustacés,50,65,2,https://www.champagne-delamotte.com/en/products/brut,contrôlée vague 3
26,Jacquesson,Cuvée n° 748,brut_non_millesime,blanc,tendu_complexe,amateur averti,repas,poisson et volaille,70,95,2,https://champagnejacquesson.com/en,contrôlée vague 3
27,Egly-Ouriet,Les Prémices,brut_non_millesime,blanc,vineux_intense,amateur et gastronomie,repas,viande blanche,85,110,2,https://www.egly-ouriet.fr/,à vérifier
28,Pierre Gimonnet & Fils,Cuis 1er Cru Blanc de Blancs,blanc_de_blancs,blanc,minéral_frais,amateur de chardonnay,apéritif,huîtres,45,60,2,https://www.pierregimonnet.com/,à vérifier
